"1","a young prince in a miniature dabbling his hand in a pool","a few aesthetes","mean"
"2","a snake at the length of his arm","the bottle","was"
"3","asses","men","did"
"4","a grassfire","rumor of a big battle","spread"
"5","a landlord on industrious tenants","stevie","strode"
"6","a mole","the room","gave"
"7","a radio or juke box","it","came"
"8","a mechanical puzzle","the design of a mechanical interlocking frame","is"
"9","a shower","the sticks","fell"
"10","a stone and the young warrior","the pony fall","saw"
"11","a punctured bolster","the redcoat officer","collapsed"
"12","a jungle shadow","him","immersed"
"13","a candle","chris","brightened"
"15","a sore eyd kitten","they","wold"
"16","the theorem of kakutani","this theorem","is"
"17","a ball that 's been bounced hard","his hands","snatched"
"18","a spell","the play","does"
"19","unripe persimmons in his mouth","the taste of time","is"
"21","a mobile brown throw-rug","thousands of buffalo -LRB- `` bison '' they will never be to the man on the street -RRB-","grazing"
"22","a prophet of the old testament","fire from heaven","had"
"23","an indian 's and sharp brown eyes","charles , also fifteen ,","was"
"24","a hun","i","felt"
"25","a huge balloon","the ' spirit","myself"
"26","a wild tangle of children 's hoops , stopped simultaneously , weirdly poised","coils of concertina","awaiting"
"28","an island in the stormy waves of surrounding sound","`` amigo ''","released"
"29","a rare wine","the full , sexy kind","were"
"30","proposing that they be learned without having schools","to propose that men be religious without having religious institutions","is"
"31","a curtain suddenly torn away to reveal something nude","a miracle , a revelation , it","was"
"32","an old car on the downward slope","l","'s"
"33","a haystack","this place","go"
"35","candy bars","pleasure , fame and fortune , drowning your troubles with a drink , and `` living it up '' with the gang","are"
"36","a headless creature","the church","leaned"
"39","a reprieve","the newspaperman","worked"
"40","a gay little piece of yellow down floating in the wind","an animal with a full pollen load","do"
"41","an open wound","the bitterness of their wedding night","ripped"
"42","a spectator","he","felt"
"43","a floodlit modern painting -- great blocks of dizzy color","white of five community refrigerators","looked"
"44","an occupying soldier","harlem , therefore ,","moves"
"45","throwing open the door to a pack of wolves and saying `` come and get it ''","NaN","was"
"46","a gentle old mare ;","the first time he was harnessed he","stood"
"47","a horse and carriage","love and marriage","go"
"48","a new bull","he","appearing"
"49","a muffled drum","the sound of his footsteps","was"
"50","a `` k.c. in cloth-of-gold ''","it","stoop"
"52","a newborn calf","the whole thing","attach"
"53","a hoarse old mastiff , his hair stiff and bristling","he","shouted"
"54","an electric current , a feeling","it","poured"
"55","a radar antenna","the transducer itself moves the beam in a sector","scan"
"56","a steadily advancing drum corps","him","sounded"
"58","one of those scientists who , from a single bone can reconstruct an animal 's entire body","the true artist","is"
"59","a baby","a teen-ager","'s"
"60","an electronic switch","each switch","is"
"61","a dove","the spirit of god","saw"
"62","a devil 's ears","a new double-breasted brown worsted suit with a faint herringbone design and wide lapels","wore"
"64","a cat rubbing against the ankles","close","watched"
"66","that of napoleon","the career of charles 12","is"
"68","an anagram which he could unscramble at his own pace and choosing","lilac gaylor and lila kingsley","had"
"69","a dove to alight upon him ''","descending","saw"
"71","a spade turning clods of earth","the hour","exposed"
"72","a giant ravenous maw","fuel","consumed"
"73","a counterpoint , punctuated by sobs of sorrow and resignation","a few words behind meltzer","hear"
"74","a mother hen","her eggs","keeps"
"75","a target","the sharp , burning colors of his body","stood"
"77","an ailment , a confirmed distrust of women","he","had"
"78","maggie","the ham","snuck"
