"and yet like a child among adults .","0","a child ","None"
"I don't mean a few aesthetes who play about with sensations , like a young prince in a miniature dabbling his hand in a pool .","0","a young prince in a miniature dabbling his hand in a pool ","a few aesthetes "
"Oh , he was being queer and careful , pawing about in the drawer and holding the bottle like a snake at the length of his arm .","0","a snake at the length of his arm ","the bottle "
"`` I went to the city And there I did Weep , Men a-crowing like asses , And living like sheep .","0","asses ","Men a-crowing "
"Rumor of a big battle spread like a grassfire up the valley .","0","a grassfire ","Rumor of a big battle "
"When the sun came out , Stevie strode proudly into Orange Square , smiling like a landlord on industrious tenants .","0","a landlord on industrious tenants ","Stevie "
"They gave the room a strange note of incongruity , like a mole on a beautiful face .","0","a mole ","the room "
"It always came on , faithfully , just like a radio or juke box , whenever he started to worry too much about something , when the bad things tried to push their way into him .","0","a radio or juke box ","It "
"The design of a mechanical interlocking frame is much like a mechanical puzzle , but once understood , the principles can be applied to any track and signal arrangement .","0","a mechanical puzzle ","The design of a mechanical interlocking frame "
"The sticks fell like a shower around her and she felt them sting her flesh and send tiny points of pain along her thighs .","0","a shower ","The sticks "
"I saw the pony fall like a stone and the young warrior flew over its head , bouncing like a rubber ball .","0","a stone and the young warrior ","the pony fall "
"The redcoat officer collapsed like a punctured bolster , and the horse reared and threw him from the saddle , except that one booted foot caught in the stirrup .","0","a punctured bolster ","The redcoat officer "
"As Matsuo climbed by using the vines and kicking his feet against the trunk , a mood of gloom immersed him like a jungle shadow .","0","a jungle shadow ","him "
"But Chris brightened up like a candle .","0","a candle ","Chris "
"Aids sounds more like a Pony Club , or horsemanship classes -- riding a horse and showing a dog are very similar ! !","0","a Pony Club , or horsemanship classes ","more "
"But I wold say I recond he did not mind it for he had a plenty more left and then they would lean to me like a sore eyd kitten to a basin of milk '' .","0","a sore eyd kitten ","they "
"This theorem is similar to the theorem of Kakutani that there exists a circumscribing cube around any closed , bounded convex set in Af .","0","the theorem of Kakutani ","This theorem "
"His hands snatched at an imaginary bucket , swooping down hard to grab it and coming away with equal snap like a ball that's been bounced hard .","0","a ball that 's been bounced hard ","His hands "
"For this does not account for the integral , elemental power of that which grows with abounding vigor as the play unfolds , nor does it explain the strange numinous sense of presentness which comes over those who watch the play like a spell .","0","a spell ","the play "
"Bitterness comes over him and the taste of time is like unripe persimmons in his mouth .","0","unripe persimmons in his mouth ","the taste of time "
"The aged care plan , similar to one the President sponsored last year as a senator , a fight on Capitol hill .","0","one ","The aged care plan "
"Thousands of buffalo ( `` bison '' they will never be to the man on the street ) grazing like a mobile brown throw-rug upon the rolling , dusty-green grassland .","0","a mobile brown throw-rug ","Thousands of buffalo -LRB- `` bison '' they will never be to the man on the street -RRB- "
"The first news stories had it that this blaze was started by a bolt of lightning , as though Miriam could call down fire from heaven like a prophet of the Old Testament .","0","a prophet of the Old Testament ","fire from heaven "
"Charles , also fifteen , was tall and skinny , scraggly , with straight black hair like an Indian's and sharp brown eyes .","0","an Indian 's and sharp brown eyes ","Charles , also fifteen , "
"I felt like a Hun in Rome .","0","a Hun ","I "
"`` I paint the nothing '' , he said once to Franz Kline and myself , `` the nothing that is behind the something , the inexpressible , unpaintable ' tick ' in the unconscious , the ' spirit ' of the moment resting forever , suspended like a huge balloon , in non-time '' .","0","a huge balloon ","the ' spirit "
"At the slope's base coils of concertina stretched out of eye range like a wild tangle of children's hoops , stopped simultaneously , weirdly poised as if awaiting the magic of the child's touch to start them all rolling again .","0","a wild tangle of children 's hoops , stopped simultaneously , weirdly poised ","coils of concertina "
"The specific analogy to the dilemma of love is the problem of the `` breakthrough '' in the realm of art .","0","a wild tangle of children 's hoops , stopped simultaneously , weirdly poised ","coils of concertina "
"Teeth again flashing back at me , the driver released a deluge of Spanish in which `` amigo '' appeared every so often like an island in the stormy waves of surrounding sound .","0","an island in the stormy waves of surrounding sound ","`` amigo '' "
"Her legs were the full , sexy kind , full bodied like a rare wine and just as tantalizing to the appetite ; ;","0","a rare wine ","the full , sexy kind "
"To propose that men be religious without having religious institutions is like proposing that they be learned without having schools .","0","proposing that they be learned without having schools ","To propose that men be religious without having religious institutions "
"`` A miracle , a revelation , it was like a curtain suddenly torn away to reveal something nude '' .","0","a curtain suddenly torn away to reveal something nude ","A miracle , a revelation , it "
"Her Cousin Emma Carraway had written it , in her loose high old lady's script -- t's carefully crossed , but l's inclined to wobble like an old car on the downward slope .","0","an old car on the downward slope ","l "
"If someone were to drop a match in here , this place would go up like a haystack '' .","0","a haystack ","this place "
"And with each sigh , like a whip in the hand of an expert , the grass stripped something from Warren .","0","a whip in the hand of an expert ","the grass "
