id,text,ratings,,,
"[BRWN, PARA#6531, SENT#2]","Mrs. Hosaka is one of the Japanese women one reads about -- beautiful , artistically talented , an artful manager of her big household -- ( four boys and four girls ) , and yet looking like a pampered , gentle Japanese woman .",3,3,3,
"[BRWN, PARA#5227, SENT#3]","We have not yet succeeded in establishing recognition of technical specialization comparable to our higher levels of management , but I believe we will trend in this direction but not to exceed vice-president '' .",1,3,3,
"[BRWN, PARA#15097, SENT#2]",She didn't sound like a pale girl .,3,3,3,
"[BRWN, PARA#11885, SENT#3]","Bonner explained that , with the nightclub's cooperation , the police had occupied El Dorado like a battlefield .",1,3,3,
"[BRWN, PARA#5684, SENT#2]",From where I sit it looks more like a nightmare .,3,3,3,
"[BRWN, PARA#6581, SENT#14]","( Whether historical nationalism helped the peoples of the remainder of the world , and whether today's nationalism in the former colonial areas has equally beneficial aspects , are other questions .",3,3,3,
"[BRWN, PARA#3535, SENT#3]",He prefers to have his soloist performing and thus we get only brief glimpses of what his ensemble work is like .,3,3,3,
"[BRWN, PARA#14211, SENT#2]",You could set up tables in the front room and serve salads and your baked beans and brown bread and Grandma could dress like a gypsy and tell fortunes '' .,3,3,3,
"[BRWN, PARA#7828, SENT#5]",On matters of race he was similarly inflexible : `` Most of the modern Latin races seem to have inherited the rigidity of the Roman mind '' .,3,3,3,
"[BRWN, PARA#6259, SENT#4]",The discovery during the Second World War that guar gum was similar to imported locust gum increased its cultivation in western Asia and initiated it in the United States .,3,3,3,
"[BRWN, PARA#9336, SENT#1]","One hebephrenic woman often became submerged in what felt to me like a somehow phony experience of pseudo-emotion , during which , despite her wracking sobs and streaming cheeks , I felt only a cold annoyance with her .",3,2,3,
"[BRWN, PARA#7841, SENT#3]","And his memory , like an elephant's , stored with precise knowledge of men and things and happenings '' .",3,3,3,
"[BRWN, PARA#2110, SENT#3]",Chen was equally adamant in his opposition to the admission of Outer Mongolia ; ;,3,3,3,
"[BRWN, PARA#4735, SENT#10]",It's good for cutting all the planking because it cuts with a bit-like blade at high rpm and does not chatter the plywood like a saber saw .,1,3,3,
"[BRWN, PARA#8293, SENT#2]",Shipments of arms from Western countries could similarly be seized as contraband .,3,3,3,
"[BRWN, PARA#3160, SENT#1]","To the average American , this must sound like an incredible tale from a Saturday night TV movie .",3,3,3,
"[BRWN, PARA#10875, SENT#5]",Still he let Eileen treat him like a valet .,3,3,3,
"[BRWN, PARA#15465, SENT#3]","I fought like a tigress but by the time I appealed my case to the Supreme Court ( 1937 ) , Mr. Roosevelt and his `` henchmen '' had done their `` dirty work '' all too well , even going so far as to attempt to `` pack '' the highest tribunal in the land in order to defeat little me .",3,3,2,
"[BRWN, PARA#2262, SENT#1]",Either way it sounds like a sizable hunk of money and is .,3,3,1,
"[BRWN, PARA#10730, SENT#2]",Joel worked like a field hand in the afternoons after school .,2,2,3,
"[BRWN, PARA#9004, SENT#4]","The most distal airways are similar to those found in type 1 , , being composed of numerous , apparently true terminal bronchioles and occasional , poorly developed respiratory bronchioles ( figs. 14 , 15 ) .",3,3,3,
"[BRWN, PARA#9872, SENT#10]","I am equally impatient with the shrug of the shoulder , shake of the head of those who no longer care because they have known it for so long ; ;",3,3,2,
"[BRWN, PARA#3297, SENT#3]","Her debut over , perhaps the earlier scenes will emerge equally fine .",3,3,3,
"[BRWN, PARA#777, SENT#1]","Shaw and Skorich headed a group of players , coaches and team officials who received an engrossed copy of an official city citation and a pair of silver cufflinks shaped like a football .",3,3,3,
"[BRWN, PARA#12386, SENT#3]","It was like a recurrent , annoying dream , but now the dream was beginning to take on overtones of a nightmare .",3,3,1,
"[BRWN, PARA#5078, SENT#1]","It is like medical schools in India where , in that fairy-land of religious inhibition , the dissection of dead bodies is frowned upon .",3,3,2,
"[BRWN, PARA#10013, SENT#3]",This was equivalent to 240 mg/lBOD on a 24-hr. basis .,3,2,3,
"[BRWN, PARA#5349, SENT#4]","Rates for American cars are somewhat higher , ranging from about $8.00 a day up to $14.00 a day for a Chevrolet Convertible , but the rate per kilometer driven is roughly the same as for the larger European models .",3,3,3,
"[BRWN, PARA#14571, SENT#2]",You look like a tweedy Englishman .,3,3,3,
"[BRWN, PARA#9057, SENT#2]","As controls , other sections were similarly treated with Af or conjugated antiserum to the New York strain of potato yellow-dwarf virus ( Wolcyrz and Black , 1956 ) .",3,3,3,
"[BRWN, PARA#8072, SENT#2]","The resulting setup , it was declared , `` would be similar to that which is in successful operation in a number of metropolitan counties as large or larger than Rhode Island '' .",1,3,3,
"[BRWN, PARA#7742, SENT#2]","But when the situation was so complicated that even Nogaret , one of the principal actors in the drama , could misinterpret the pope's motives , it is possible that Othon and his companions , equally baffled , attributed their difficulties to a more immediate cause .",3,3,1,
"[BRWN, PARA#6698, SENT#1]","Less dazzling than Hamilton , less eloquent than Jefferson , John Jay commands an equally high rank among the Founding Fathers .",3,3,3,
"[BRWN, PARA#9952, SENT#4]",Nothing looks anything like an Ernst or an Arp but another Ernst or Arp .,3,3,3,
"[BRWN, PARA#4220, SENT#3]","My message , today , is the same as it was 15 years ago : that there is goodness in people , and strength and love in God .",3,3,3,
"[BRWN, PARA#5270, SENT#5]",the art of preprinting in distortion was similarly perfected by the sign makers ; ;,3,3,3,
"[BRWN, PARA#436, SENT#1]","It is difficult to be certain how the administration views that $28 million , since the views of one leader may not be the same as the views of another one .",3,3,3,
"[BRWN, PARA#14434, SENT#5]","Mr. Heiser , does this sound like a truly workable plan to you ? ?",3,3,3,
"[BRWN, PARA#6908, SENT#1]",On the parade ground the net may be similar to that shown in Figure 3 .,1,3,3,
"[BRWN, PARA#6687, SENT#2]","Incapable of self-delusion , the Founding Fathers found the crisis of their time to be equally grave , and yet they had confidence that America would surmount it and that a republic of free peoples would prosper and serve as an example to a world aching for liberty .",3,3,2,
"[BRWN, PARA#10641, SENT#10]","`` Finally , all I needed was to throw a little piece of red wood that looked like a firecracker and that dumb dog would run ki-yi-ing for his life '' .",3,3,3,
"[BRWN, PARA#7353, SENT#1]","Every day , when the President took his nap , Rob Roy would stretch out on the window seat near him , like a perfect gentleman , and stare thoughtfully out the window , or he would take a little nap himself .",3,2,3,
"[BRWN, PARA#9067, SENT#4]","In the direct method , Af , not further treated , stained certain tissues of healthy sweet clover stems nonspecifically and WTV tumor sections were similarly stained by comparable Af .",3,3,3,
"[BRWN, PARA#9368, SENT#9]","when it represents only itself and on which is its complement ( so that go on is semantically equivalent to board ) , on has stronger stress than go does .",1,3,3,
"[BRWN, PARA#13153, SENT#2]",`` Or maybe you just don't feel like a cigar '' ? ?,3,3,3,
"[BRWN, PARA#9722, SENT#2]","Whatever the unhappy inmates of such camps are like today , Dostoevsky's companions were about as grim a lot as can be imagined .",3,3,3,
"[BRWN, PARA#14586, SENT#4]","Devout , orthodox and plain like a family she might meet in Brooklyn or Malta or Ireland .",3,3,3,
"[BRWN, PARA#9056, SENT#3]",As controls other sections were similarly covered with Aj .,3,3,3,
"[BRWN, PARA#11835, SENT#4]","He , of course , must have been equally unprepared for what confronted him , but , nonetheless , I did find his reaction startling .",3,3,3,
