"name","text"
"[10, PARA#1570, SENT#1]","15 : 11 Who is like unto thee , O LORD , among the gods ?"
"[10, PARA#4429, SENT#1]","33 : 17 His glory is like the firstling of his bullock , and his horns are like the horns of unicorns : with them he shall push the people together to the ends of the earth : and they are the ten thousands of Ephraim , and they are the thousands of Manasseh ."
"[10, PARA#4441, SENT#1]","33 : 29 Happy art thou , O Israel : who is like unto thee , O people saved by the LORD , the shield of thy help , and who is the sword of thy excellency !"
"[10, PARA#6115, SENT#4]","and who is like to thee in Israel ?"
"[10, PARA#6348, SENT#1]","7 : 23 And what one nation in the earth is like thy people , even like Israel , whom God went to redeem for a people to himself , and to make him a name , and to do for you great things and terrible , for thy land , before thy people , which thou redeemedst to thee from Egypt , from the nations and their gods ?"
"[10, PARA#6612, SENT#1]","18 : 27 And the watchman said , Me thinketh the running of the foremost is like the running of Ahimaaz the son of Zadok ."
"[10, PARA#7655, SENT#1]","9 : 20 And the watchman told , saying , He came even unto them , and cometh not again : and the driving is like the driving of Jehu the son of Nimshi ; for he driveth furiously ."
"[10, PARA#8474, SENT#1]","17 : 21 And what one nation in the earth is like thy people Israel , whom God went to redeem to be his own people , to make thee a name of greatness and terribleness , by driving out nations from before thy people whom thou hast redeemed out of Egypt ?"
"[10, PARA#10587, SENT#1]","34 : 7 What man is like Job , who drinketh up scorning like water ?"
"[10, PARA#11027, SENT#1]","22 : 14 I am poured out like water , and all my bones are out of joint : my heart is like wax ; it is melted in the midst of my bowels ."
"[10, PARA#11230, SENT#1]","35 : 10 All my bones shall say , LORD , who is like unto thee , which deliverest the poor from him that is too strong for him , yea , the poor and the needy from him that spoileth him ?"
"[10, PARA#11254, SENT#1]","36 : 6 Thy righteousness is like the great mountains ; thy judgments are a great deep : O LORD , thou preservest man and beast ."
"[10, PARA#11472, SENT#1]","49 : 12 Nevertheless man being in honour abideth not : he is like the beasts that perish ."
"[10, PARA#11480, SENT#1]","49 : 20 Man that is in honour , and understandeth not , is like the beasts that perish ."
"[10, PARA#11596, SENT#1]","58 : 4 Their poison is like the poison of a serpent : they are like the deaf adder that stoppeth her ear ;"
"[10, PARA#11808, SENT#1]","71 : 19 Thy righteousness also , O God , is very high , who hast done great things : O God , who is like unto thee !"
"[10, PARA#12633, SENT#1]","113 : 5 Who is like unto the LORD our God , who dwelleth on high ,"
"[10, PARA#12987, SENT#1]","133 : 2 It is like the precious ointment upon the head , that ran down upon the beard , even Aaron ' s beard : that went down to the skirts of his garments ;"
"[10, PARA#13127, SENT#1]","144 : 4 Man is like to vanity : his days are as a shadow that passeth away ."
"[10, PARA#13693, SENT#1]","20 : 5 Counsel in the heart of man is like deep water ; but a man of understanding will draw it out ."
"[10, PARA#13830, SENT#1]","25 : 11 A word fitly spoken is like apples of gold in pictures of silver ."
"[10, PARA#13833, SENT#1]","25 : 14 Whoso boasteth himself of a false gift is like clouds and wind without rain ."
"[10, PARA#13838, SENT#1]","25 : 19 Confidence in an unfaithful man in time of trouble is like a broken tooth , and a foot out of joint ."
"[10, PARA#13846, SENT#1]","25 : 28 He that hath no rule over his own spirit is like a city that is broken down , and without walls ."
"[10, PARA#13863, SENT#1]","26 : 17 He that passeth by , and meddleth with strife belonging not to him , is like one that taketh a dog by the ears ."
"[10, PARA#13899, SENT#1]","28 : 3 A poor man that oppresseth the poor is like a sweeping rain which leaveth no food ."
"[10, PARA#13982, SENT#1]","31 : 14 She is like the merchants ' ships ; she bringeth her food from afar ."
"[10, PARA#14201, SENT#1]","2 : 9 My beloved is like a roe or a young hart : behold , he standeth behind our wall , he looketh forth at the windows , shewing himself through the lattice ."
"[10, PARA#14220, SENT#1]","4 : 4 Thy neck is like the tower of David builded for an armoury , whereon there hang a thousand bucklers , all shields of mighty men ."
"[10, PARA#14226, SENT#4]","4 : 11 Thy lips , O my spouse , drop as the honeycomb : honey and milk are under thy tongue ; and the smell of thy garments is like the smell of Lebanon ."
"[10, PARA#14257, SENT#1]","7 : 2 Thy navel is like a round goblet , which wanteth not liquor : thy belly is like an heap of wheat set about with lilies ."
"[10, PARA#14260, SENT#1]","7 : 5 Thine head upon thee is like Carmel , and the hair of thine head like purple ; the king is held in the galleries ."
"[10, PARA#14261, SENT#2]","7 : 7 This thy stature is like to a palm tree , and thy breasts to clusters of grapes ."
"[10, PARA#14794, SENT#1]","33 : 9 The earth mourneth and languisheth : Lebanon is ashamed and hewn down : Sharon is like a wilderness ; and Bashan and Carmel shake off their fruits ."
"[10, PARA#15887, SENT#4]","for that day is great , so that none is like it : it is even the time of Jacob ' s trouble , but he shall be saved out of it ."
"[10, PARA#16053, SENT#1]","38 : 7 Now when Ebedmelech the Ethiopian , one of the eunuchs which was in the king ' s house , heard that they had put Jeremiah in the dungeon ; the king then sitting in the gate of Benjamin ; 38 : 8 Ebedmelech went forth out of the king ' s house , and spake to the king saying , 38 : 9 My lord the king , these men have done evil in all that they have done to Jeremiah the prophet , whom they have cast into the dungeon ; and he is like to die for hunger in the place where he is : for there is no more bread in the city ."
"[10, PARA#16171, SENT#1]","46 : 20 Egypt is like a very fair heifer , but destruction cometh ; it cometh out of the north ."
"[10, PARA#16239, SENT#1]","49 : 19 Behold , he shall come up like a lion from the swelling of Jordan against the habitation of the strong : but I will suddenly make him run away from her : and who is a chosen man , that I may appoint over her ?"
"[10, PARA#16297, SENT#1]","50 : 44 Behold , he shall come up like a lion from the swelling of Jordan unto the habitation of the strong : but I will make them suddenly run away from her : and who is a chosen man , that I may appoint over her ?"
"[10, PARA#16326, SENT#1]","51 : 33 For thus saith the LORD of hosts , the God of Israel ; The daughter of Babylon is like a threshingfloor , it is time to thresh her : yet a little while , and the time of her harvest shall come ."
"[10, PARA#16852, SENT#1]","19 : 10 Thy mother is like a vine in thy blood , planted by the waters : she was fruitful and full of branches by reason of many waters ."
"[10, PARA#16956, SENT#1]","23 : 20 For she doted upon their paramours , whose flesh is as the flesh of asses , and whose issue is like the issue of horses ."
"[10, PARA#17003, SENT#1]","25 : 8 Thus saith the Lord GOD ; Because that Moab and Seir do say , Behold , the house of Judah is like unto all the heathen ; 25 : 9 Therefore , behold , I will open the side of Moab from the cities , from his cities which are on his frontiers , the glory of the country , Bethjeshimoth , Baalmeon , and Kiriathaim , 25 : 10 Unto the men of the east with the Ammonites , and will give them in possession , that the Ammonites may not be remembered among the nations ."
"[10, PARA#17051, SENT#1]","27 : 32 And in their wailing they shall take up a lamentation for thee , and lament over thee , saying , What city is like Tyrus , like the destroyed in the midst of the sea ?"
"[10, PARA#17623, SENT#1]","3 : 25 He answered and said , Lo , I see four men loose , walking in the midst of the fire , and they have no hurt ; and the form of the fourth is like the Son of God ."
"[10, PARA#17940, SENT#1]","7 : 11 Ephraim also is like a silly dove without heart : they call to Egypt , they go to Assyria ."
"[10, PARA#18705, SENT#3]","for he is like a refiner ' s fire , and like fullers ' soap : 3 : 3 And he shall sit as a refiner and purifier of silver : and he shall purify the sons of Levi , and purge them as gold and silver , that they may offer unto the LORD an offering in righteousness ."
"[10, PARA#18965, SENT#2]","It is like unto children sitting in the markets , and calling unto their fellows , 11 : 17 And saying , We have piped unto you , and ye have not danced ; we have mourned unto you , and ye have not lamented ."
"[10, PARA#19034, SENT#1]","13 : 31 Another parable put he forth unto them , saying , The kingdom of heaven is like to a grain of mustard seed , which a man took , and sowed in his field : 13 : 32 Which indeed is the least of all seeds : but when it is grown , it is the greatest among herbs , and becometh a tree , so that the birds of the air come and lodge in the branches thereof ."
"[10, PARA#19035, SENT#1]","13 : 33 Another parable spake he unto them ; The kingdom of heaven is like unto leaven , which a woman took , and hid in three measures of meal , till the whole was leavened ."
"[10, PARA#19042, SENT#1]","13 : 44 Again , the kingdom of heaven is like unto treasure hid in a field ; the which when a man hath found , he hideth , and for joy thereof goeth and selleth all that he hath , and buyeth that field ."
"[10, PARA#19043, SENT#1]","13 : 45 Again , the kingdom of heaven is like unto a merchant man , seeking goodly pearls : 13 : 46 Who , when he had found one pearl of great price , went and sold all that he had , and bought it ."
"[10, PARA#19044, SENT#1]","13 : 47 Again , the kingdom of heaven is like unto a net , that was cast into the sea , and gathered of every kind : 13 : 48 Which , when it was full , they drew to shore , and sat down , and gathered the good into vessels , but cast the bad away ."
"[10, PARA#19047, SENT#1]","13 : 52 Then said he unto them , Therefore every scribe which is instructed unto the kingdom of heaven is like unto a man that is an householder , which bringeth forth out of his treasure things new and old ."
"[10, PARA#19201, SENT#1]","20 : 1 For the kingdom of heaven is like unto a man that is an householder , which went out early in the morning to hire labourers into his vineyard ."
"[10, PARA#19258, SENT#1]","22 : 1 And Jesus answered and spake unto them again by parables , and said , 22 : 2 The kingdom of heaven is like unto a certain king , which made a marriage for his son , 22 : 3 And sent forth his servants to call them that were bidden to the wedding : and they would not come ."
"[10, PARA#19284, SENT#1]","22 : 39 And the second is like unto it , Thou shalt love thy neighbour as thyself ."
"[10, PARA#19614, SENT#3]","4 : 31 It is like a grain of mustard seed , which , when it is sown in the earth , is less than all the seeds that be in the earth : 4 : 32 But when it is sown , it groweth up , and becometh greater than all herbs , and shooteth out great branches ; so that the fowls of the air may lodge under the shadow of it ."
"[10, PARA#19886, SENT#1]","12 : 31 And the second is like , namely this , Thou shalt love thy neighbour as thyself ."
"[10, PARA#20246, SENT#2]","6 : 47 Whosoever cometh to me , and heareth my sayings , and doeth them , I will shew you to whom he is like : 6 : 48 He is like a man which built an house , and digged deep , and laid the foundation on a rock : and when the flood arose , the stream beat vehemently upon that house , and could not shake it : for it was founded upon a rock ."
